Container 1, Container started, Starting application, Tomcat Started, Tomcat ready to receive requests, Springboot started, Application finished task, Total Time, Total Time since Container 1
,1408,9569,37653,307,104,3388,52429,52429,
,1494,9934,40894,289,10,4193,56814,56814,
,1654,9241,40403,399,98,3609,55404,55404,
,1662,9947,40277,290,9,4004,56189,56189,
,1486,9771,40560,202,96,3811,55926,55926,
,1597,10129,36485,289,4,3306,51810,51810,
,1372,8372,35056,299,2,3703,48804,48804,
,1556,9917,40301,399,11,5604,57788,57788,
,1396,9958,40973,400,97,3205,56029,56029,
,1743,9596,39532,112,92,3698,54773,54773,
