container 1, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,,
,619,1505,400,8973,40806,393,5803,999105,58499, 0,58499, 1051808,,
,516,1411,415,9251,38202,297,3708,999126,53800, 0,53800, 1049121,,
,632,1620,547,9657,39607,494,4298,999114,56855, 0,56855, 1051568,,
,657,1498,411,9664,37614,382,3910,999116,54136, 0,54136, 1049246,,
,692,1454,469,9642,38804,391,3801,999144,55253, 0,55253, 1050498,,
,537,1471,475,10424,42399,404,3211,0,58921, 0,58921,0,,
,570,1367,452,9152,39697,404,4095,0,55737, 0,55737,0,,
,698,1430,358,9568,38705,396,3100,0,54255, 0,54255,0,,
,579,1399,381,9491,41088,305,3699,0,56942, 0,56942,0,,
,512,1394,386,9663,38684,500,3405,0,54544, 0,54544,0,,
,525,1380,377,9883,39799,397,3902,0,56263, 0,56263,0,,
,611,1416,359,9364,39911,490,3402,0,55553, 0,55553,0,,
,509,1375,841,9965,39692,298,3008,0,55688, 0,55688,0,,
,583,1373,426,9376,40503,394,3800,0,56455, 0,56455,0,,
,614,1383,366,9993,40491,406,3896,0,57149, 0,57149,0,,
,520,1393,413,9673,39788,503,3799,0,56089, 0,56089,0,,
,600,1368,410,9996,38986,306,3493,0,55159, 0,55159,0,,

