container 1, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 2, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 3, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,
,761,1490,354,9483,40429,487,6795,0,59799, 0,59799,0,,791,2771,373,9676,41286,497,4424,0,59818, -16,59802,0,,816,4156,399,9552,41695,427,2797,0,59842, -36,59806,0,,
,770,1415,422,9887,44789,414,6679,0,64376, 0,64376,0,,759,2752,375,10268,44895,422,4794,0,64265, 42,64307,0,,809,4007,387,10051,45312,393,8703,0,69662, 34,69696,0,,
,908,1598,436,9468,45095,603,7918,0,66026, 0,66026,0,,911,2831,452,9778,44397,294,8013,0,66676, 40,66716,0,,960,4370,389,9836,42911,590,8917,0,67973, 41,68014,0,,
,915,1454,377,8958,40609,406,7685,0,60404, 0,60404,0,,941,2686,379,8473,41511,392,5985,0,60367, 35,60402,0,,899,4000,421,8453,41201,292,5016,0,60282, 47,60329,0,,
,814,1448,363,9192,42502,581,7816,0,62716, 0,62716,0,,856,2751,366,9688,44000,274,6329,0,64264, -42,64222,0,,898,4021,473,9332,43997,512,5013,0,64246, -31,64215,0,,
,763,1456,473,8760,41726,593,9302,0,63073, 0,63073,0,,877,2574,478,9076,43110,289,4885,0,61289, 61,61350,0,,868,3857,524,9140,42402,509,5689,0,62989, 80,63069,0,,
,810,1434,354,9298,42590,495,7831,0,62812, 0,62812,0,,784,2703,396,9458,41417,398,6608,0,61764, 44,61808,0,,815,3957,417,9468,41698,499,4924,0,61778, 34,61812,0,,
,864,1409,374,9444,41411,321,6793,0,60616, 0,60616,0,,1046,2506,366,9184,42581,505,6817,0,63005, 15,63020,0,,1079,3785,487,9728,41713,685,7219,0,64696, 23,64719,0,,
,677,1349,392,9758,44495,406,6817,0,63894, 0,63894,0,,811,2467,370,10065,41903,501,7716,0,63833, 58,63891,0,,838,3766,504,10133,42986,402,5216,0,63845, 47,63892,0,,
,843,1445,465,9367,42084,527,8477,0,63208, 0,63208,0,,893,2735,468,8976,41687,310,10178,0,65247, -42,65205,0,,929,3980,467,9559,43113,386,6024,0,64458, -23,64435,0,,
,745,1427,331,9379,40700,480,8433,0,61495, 0,61495,0,,703,2712,451,8967,40986,399,10214,0,64432, 58,64490,0,,784,3902,450,9264,40115,505,10896,0,65916, 68,65984,0,,
,961,1435,498,9376,41700,317,6909,0,61196, 0,61196,0,,1305,2350,408,9465,39596,317,7707,0,61148, 45,61193,0,,1335,3759,402,9853,41709,297,6813,0,64168, 18,64186,0,,
,754,1439,384,9077,40299,398,9325,0,61676, 0,61676,0,,769,2752,393,9645,42491,304,6519,0,62873, -8,62865,0,,853,3912,515,9773,42593,500,3524,0,61670, 9,61679,0,,
,832,1438,419,9564,41630,374,10420,0,64677, 0,64677,0,,825,2788,482,9275,42313,580,8424,0,64687, -10,64677,0,,894,4018,425,9645,40015,301,7008,0,62306, -28,62278,0,,
,867,1395,362,9086,39697,397,7712,0,59516, 0,59516,0,,900,2665,892,9674,40482,306,4688,0,59607, -26,59581,0,,906,3943,408,9357,41101,296,8105,0,64116, -12,64104,0,,
,986,1454,464,9094,40504,399,10596,0,63497, 0,63497,0,,911,2729,427,9361,43992,286,5796,0,63502, 72,63574,0,,972,4001,431,9560,40983,423,6011,0,62381, 26,62407,0,,
,908,1393,487,9391,42684,421,9580,0,64864, 0,64864,0,,970,2536,450,9370,41887,417,5708,0,61338, 61,61399,0,,973,3815,489,9929,41410,477,7618,0,64711, 78,64789,0,,
,769,1395,434,9781,41988,409,6509,0,61285, 0,61285,0,,809,2587,371,9365,42205,310,7520,0,63167, 26,63193,0,,898,3768,626,10050,42999,404,5191,0,63936, 17,63953,0,,
,865,1423,339,8486,41608,393,9115,0,62229, 0,62229,0,,892,2671,404,9082,42998,285,7210,0,63542, -24,63518,0,,890,3960,408,8863,40585,420,7182,0,62308, -10,62298,0,,,726,1443,558,9169,40508,293,13998,119493,66695, 0,66695,172102,,819,2565,487,9368,39913,399,13085,119517,66636, 58,66694,172999,,826,3843,489,9458,41300,396,10319,117094,66631, 70,66701,173400,,
