container 1, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 2, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 3, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 4, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,
,820,1418,385,9281,42581,317,10485,0,65287, 0,65287,0,,858,2621,401,9484,41998,317,9995,0,65674, 41,65715,0,,868,3886,464,9463,42415,385,9808,0,67289, 28,67317,0,,983,5084,479,9730,43093,435,7196,0,67000, 15,67015,0,,
,788,1388,395,9191,42185,412,9515,0,63874, 0,63874,0,,1095,2425,436,9193,41797,290,9416,0,64652, 21,64673,0,,1104,3688,481,10057,41394,292,7626,0,64642, 28,64670,0,,1095,4947,521,9755,40405,381,7519,0,64623, 51,64674,0,,
,1019,1450,842,8851,39607,302,7215,0,59286, 0,59286,0,,1042,2707,429,8737,40623,381,7528,0,61447, 27,61474,0,,1103,4000,520,9072,41081,390,4627,0,60793, -23,60770,0,,870,5323,515,8953,38871,211,9614,0,64357, 213,64570,0,,
,1028,1471,399,8771,39217,394,12801,0,64081, 0,64081,0,,1026,2686,454,9261,41891,309,8410,0,64037, 42,64079,0,,1156,3836,454,9371,41704,381,7116,0,64018, 59,64077,0,,1156,5100,493,9226,39705,312,9175,0,65167, 86,65253,0,,
,713,1435,472,8776,38809,293,8621,0,59119, 0,59119,0,,974,2430,503,8768,39903,411,7801,0,60790, 19,60809,0,,923,3695,542,9248,41419,494,9000,0,65321, 84,65405,0,,983,4985,411,8867,40879,504,7388,0,64017, 61,64078,0,,
,810,1424,408,8773,39410,310,10711,0,61846, 0,61846,0,,876,2546,348,8765,39890,406,8940,0,61771, 80,61851,0,,845,3549,491,8778,40391,486,5827,0,60367, 377,60744,0,,834,4873,491,9351,41283,302,9321,0,66455, 386,66841,0,,
,669,1512,434,9163,39578,404,12577,0,64337, 0,64337,0,,903,2516,454,9945,39414,497,11803,0,65532, 29,65561,0,,908,3819,456,9277,40481,388,8634,0,63963, 13,63976,0,,1029,4963,405,9622,41338,471,5436,0,63264, 19,63283,0,,
,1030,1436,462,9042,42201,301,12617,0,67089, 0,67089,0,,1028,2716,406,9664,42785,409,10009,0,67017, 76,67093,0,,1074,3961,650,9547,41189,321,8514,0,65256, 48,65304,0,,1104,5265,405,9540,41496,211,11100,0,69121, 78,69199,0,,
,794,1426,489,8568,42818,413,7360,0,61868, 0,61868,0,,1132,2369,389,9077,41990,300,7196,0,62453, 12,62465,0,,1120,3663,422,9465,43276,491,5598,0,64035, 26,64061,0,,1124,4916,431,9057,42078,432,5881,0,63919, 56,63975,0,,
,949,1434,393,9508,41068,510,8528,0,62390, 0,62390,0,,1007,2684,469,9663,42705,391,12524,0,69443, 46,69489,0,,1022,3980,2400,9626,41231,281,11182,0,69722, 33,69755,0,,1169,5119,2212,9320,41718,279,9388,0,69205, 47,69252,0,,
,1029,1450,511,9061,42002,503,7385,0,61941, 0,61941,0,,1099,2735,425,9279,40786,506,6220,0,61050, 24,61074,0,,1077,4101,470,9180,41568,320,5103,0,61819, 50,61869,0,,1131,5321,502,9338,41185,329,4876,0,62682, 61,62743,0,,
,1021,1407,476,9067,42214,573,10235,0,64993, 0,64993,0,,1146,2549,475,8975,41016,386,9821,0,64368, 16,64384,0,,1136,3780,431,9340,42522,213,6893,0,64315, 69,64384,0,,1140,5067,779,10046,40317,386,12214,0,69949, 39,69988,0,,
,1018,1430,480,8874,39906,610,6596,0,58914, 0,58914,0,,1034,2605,410,9574,42185,282,5742,0,61832, 102,61934,0,,1121,3817,453,9453,40203,311,4205,0,59563, 73,59636,0,,1253,4983,501,9616,39309,212,10211,0,66085, 48,66133,0,,
,833,1422,382,9011,40008,280,12205,0,64141, 0,64141,0,,880,2651,377,9274,42188,730,7998,0,64098, 44,64142,0,,919,4043,397,9658,41772,320,8800,0,65909, 29,65938,0,,944,5452,429,9838,41528,680,11282,0,70153, 60,70213,0,,
,852,1380,508,9243,38808,489,10720,0,62000, 0,62000,0,,896,2595,369,9794,40800,408,10793,0,65655, 33,65688,0,,934,3830,330,9758,42097,387,4636,0,61972, 25,61997,0,,994,5049,477,9534,42204,303,7111,0,65672, 13,65685,0,,
,1023,1531,388,9364,39922,488,37089,0,89805, 0,89805,0,,1027,2769,410,9770,41295,408,34081,0,89760, 37,89797,0,,1062,4012,432,9782,41178,403,32895,0,89764, 37,89801,0,,1154,5282,447,9439,41618,463,33913,0,92316, -10,92306,0,,
,735,1431,442,8673,39015,595,25705,0,76596, 0,76596,0,,874,2519,371,9167,42215,373,26111,0,81630, 48,81678,0,,963,3681,394,9275,41894,408,17680,0,74295, 84,74379,0,,1000,5016,466,9331,40416,401,22397,0,79027, 60,79087,0,,
,973,1431,403,9082,41113,388,32895,0,86285, 0,86285,0,,1109,2605,366,8977,42036,397,26578,0,82068, 15,82083,0,,1175,3778,422,9081,42892,398,24298,0,82044, 45,82089,0,,1214,4977,589,9163,42709,387,22992,0,82031, 55,82086,0,,
,884,1438,386,9311,40098,275,24712,0,77104, 0,77104,0,,903,2656,427,9566,39807,205,24585,0,78149, 42,78191,0,,947,3909,429,9765,41010,501,20491,0,77052, 48,77100,0,,972,5183,483,9656,40574,323,19891,0,77082, 23,77105,0,,
,807,1360,443,9075,41611,494,10801,0,64591, 0,64591,0,,923,2482,351,8876,38117,394,13478,0,64621, 35,64656,0,,998,3659,397,9372,42196,372,10126,0,67120, 65,67185,0,,1010,4941,439,9332,41388,312,9710,0,67132, 50,67182,0,,
,807,1360,443,9075,41611,494,10801,0,64591, 0,64591,0,,923,2482,351,8876,38117,394,13478,0,64621, 35,64656,0,,998,3659,397,9372,42196,372,10126,0,67120, 65,67185,0,,1010,4941,439,9332,41388,312,9710,0,67132, 50,67182,0,,
,846,1421,387,8988,43123,405,10698,0,65868, 0,65868,0,,1152,2350,436,8968,42015,498,9475,0,64894, 40,64934,0,,1132,3614,477,9463,43627,470,6022,0,64805, 61,64866,0,,1126,4871,529,9464,43186,581,8895,0,68652, 83,68735,0,,
