container 1, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 2, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 3, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 4, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 5, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,
,1158,1443,404,8791,39408,384,26618,0,78206, 0,78206,0,,1155,2670,488,8557,39503,273,25520,0,78166, 29,78195,0,,1301,3750,417,8983,41012,506,16672,0,72641, 59,72700,0,,1302,5020,459,9168,39708,564,21908,0,78129, 66,78195,0,,1325,6305,493,9038,39697,574,23221,0,80653, 42,80695,0,,
,836,1522,378,8985,39890,619,23370,0,75600, 0,75600,0,,900,2758,352,9181,39913,367,26211,0,79682, 18,79700,0,,1015,3904,394,9268,37778,394,26896,0,79649, 44,79693,0,,1121,5037,426,9167,38908,296,20573,0,75528, 73,75601,0,,1168,6311,483,9110,39689,394,18399,0,75554, 50,75604,0,,
,997,1398,370,8812,40395,505,27078,0,79555, 0,79555,0,,1251,2377,397,9171,40516,383,34593,0,88688, 64,88752,0,,1262,3625,446,9163,40971,302,32908,0,88677, 77,88754,0,,1309,4927,417,9130,40916,483,31524,0,88706, 49,88755,0,,1430,6121,456,8942,42490,390,28909,0,88738, 13,88751,0,,
,960,1457,395,9266,40340,283,27882,0,80583, 0,80583,0,,1142,2524,462,9135,40226,476,24892,0,78857, 17,78874,0,,1242,3766,473,9246,39525,296,25986,0,80534, 51,80585,0,,1226,5104,423,9447,38998,302,23293,0,78793, 80,78873,0,,1257,6367,472,9440,39020,294,21972,0,78822, 51,78873,0,,
,877,1518,374,8783,39627,273,22686,0,74138, 0,74138,0,,1207,2404,410,8689,41286,293,22314,0,76603, 52,76655,0,,1239,3682,407,9063,38696,315,29094,0,82496, 55,82551,0,,1229,5005,499,8815,39574,288,20196,0,75606, 26,75632,0,,1291,6224,454,8927,40417,502,24684,0,82499, 54,82553,0,,
,1121,2113,432,8580,40806,303,26511,0,79866, 0,79866,0,,1149,3364,500,8837,38712,491,20921,0,73974, -12,73962,0,,1123,4659,506,8647,39480,221,23906,0,78542, 16,78558,0,,1187,5863,442,9210,38920,395,17916,0,73933, 28,73961,0,,1145,7175,429,9412,39639,302,23376,0,81478, 70,81548,0,,
,748,1452,379,8794,39892,200,24405,0,75870, 0,75870,0,,747,2660,437,8890,40299,301,22505,0,75839, 34,75873,0,,735,3648,396,9358,39995,121,19303,0,73556, 314,73870,0,,618,4563,443,9246,39405,301,18490,0,73066, 805,73871,0,,654,5766,461,9222,38629,266,20024,0,75022, 853,75875,0,,
,1024,1412,473,8876,39276,398,23818,0,75277, 0,75277,0,,1050,2671,358,8996,40388,414,21391,0,75268, 13,75281,0,,1189,3767,437,9140,39609,216,10805,0,65163, 27,65190,0,,1183,5003,496,9063,40003,261,16427,0,72436, 54,72490,0,,1200,6231,441,9429,38013,405,19789,0,75508, 76,75584,0,,
,954,1466,467,8933,39706,321,24389,0,76236, 0,76236,0,,1195,2482,466,8905,39781,594,22802,0,76225, 11,76236,0,,1171,3754,397,8983,41701,301,19487,0,75794, 51,75845,0,,1200,5044,483,9163,40709,487,24095,0,81181, 62,81243,0,,1309,6241,437,9337,40480,418,17990,0,76212, 26,76238,0,,
,1092,1435,457,8810,39758,318,22225,0,74095, 0,74095,0,,1222,2579,486,9273,41170,421,22204,0,77355, 23,77378,0,,1266,3771,481,9151,39510,392,19430,0,74001, 83,74084,0,,1270,5004,441,9050,41695,389,24205,0,82054, 116,82170,0,,1341,6297,613,9587,41274,333,14598,0,74043, 45,74088,0,,
