container 1,Duration starting the pause container,Duration creating application container,Duration starting up the application container,Duration starting up the JVM,Duration starting up Tomcat server,Duration finalizing spring boot startup,Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container,Total time since first container,Total time 1000 tasks since container 1,container 2,Duration starting the pause container,Duration creating application container,Duration starting up the application container,Duration starting up the JVM,Duration starting up Tomcat server,Duration finalizing spring boot startup,Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container,Total time since first container,Total time 1000 tasks since container 1,container 3,Duration starting the pause container,Duration creating application container,Duration starting up the application container,Duration starting up the JVM,Duration starting up Tomcat server,Duration finalizing spring boot startup,Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container,Total time since first container,Total time 1000 tasks since container 1,container 4,Duration starting the pause container,Duration creating application container,Duration starting up the application container,Duration starting up the JVM,Duration starting up Tomcat server,Duration finalizing spring boot startup,Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container,Total time since first container,Total time 1000 tasks since container 1,container 5,Duration starting the pause container,Duration creating application container,Duration starting up the application container,Duration starting up the JVM,Duration starting up Tomcat server,Duration finalizing spring boot startup,Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container,Total time since first container,Total time 1000 tasks since container 1,container 6,Duration starting the pause container,Duration creating application container,Duration starting up the application container,Duration starting up the JVM,Duration starting up Tomcat server,Duration finalizing spring boot startup,Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container,Total time since first container,Total time 1000 tasks since container 1,
,975,1485,362,8664,40028,322,60178,1000326,112014,0,112014,1052212,,1051,2708,447,8572,38242,369,71699,999125,123088,21,123109,1050619,,1090,3987,411,9187,39967,431,56288,999173,111361,54,111415,1054208,,1107,5036,546,9456,39520,283,55785,999681,111733,280,112013,1055919,,1159,6440,734,9349,39844,347,54016,999123,111889,126,112015,1057110,,1240,7725,1749,9162,37275,208,54587,999705,111946,68,112014,1057119,,
,985,1639,351,8822,39765,300,95312,999448,147174, 0,147174, 1051315,,988,2908,403,8702,39080,406,94692,998920,147179, -5,147174, 1051317,,1173,4188,420,8880,38705,356,93414,1000206,147136, 40,147176, 1053895,,1303,5358,500,9070,39411,172,91306,1000574,147120, 53,147173, 1056462,,1314,6617,550,9254,37077,206,92307,1001302,147325, 62,147387, 1056462,,1355,7941,495,9207,37605,256,90305,999583,147164, 9,147173, 1056465,,
,875,1535,423,8935,39801,212,47105,1016388,98886, 0,98886, 1068168,,1183,4247,481,8743,39790,395,46512,1015087,101351, 30,101381, 1069888,,1164,5533,445,8882,40396,382,44509,999108,101311, 74,101385, 1055894,,1329,6662,467,8833,38851,475,44688,1016094,101305, 75,101380, 1072606,,1390,7890,3076,8946,37987,392,41613,999117,101294, 84,101378, 1058889,,1210,10244,787,9079,40155,345,36729,999505,98549, 342,98891, 1061585,,
,850,1488,431,8978,38629,268,37003,1000816,87647, 0,87647, 1051451,,954,2717,462,8811,38981,394,35393,999208,87712, -63,87649, 1051461,,2122,4010,414,8885,38355,417,40003,1000765,94206, -1254,92952, 1053597,,1114,4752,409,9259,39835,359,31619,1000399,87347, 307,87654, 1056425,,1229,5872,469,9346,39090,328,35172,999754,91506, 343,91849, 1056407,,1225,7133,507,9358,37947,312,36107,999588,92589, 353,92942, 1056424,,
,1047,6472,518,8636,38508,406,30091,998903,85678, 0,85678, 1054550,,1179,7537,401,8660,39313,409,27703,999599,85202, 76,85278, 1057074,,1204,8865,487,8880,38803,297,27095,1001047,85631, 49,85680, 1059605,,1160,10099,428,8751,39606,306,25206,999042,85556, 124,85680, 1059610,,1271,11271,500,8748,37576,321,25494,999858,85181, 96,85277, 1059612,,1341,12429,472,8778,36934,510,25083,999200,85547, 134,85681, 1059615,,
,1111,1482,453,8584,39389,395,65199,999619,116613, 0,116613, 1050949,,1158,2710,322,8816,37667,288,61640,1000018,112601, 31,112632, 1050952,,1274,3870,438,8857,37532,389,60807,1000810,113167, 49,113216, 1053192,,1283,5074,443,9033,37846,263,58007,999172,111949, 66,112015, 1053195,,1267,6349,562,9024,39546,311,59464,1000498,116523, 84,116607, 1057588,,1288,7595,491,9157,37918,320,59763,1000787,116532, 74,116606, 1057592,,
,914,1396,392,9185,38018,307,22675,999001,72887, 0,72887, 1049186,,1208,2443,391,9081,38730,294,21284,999084,73431, -45,73386, 1051177,,1149,3644,418,8873,37679,421,21101,999903,73285, 98,73383, 1052176,,1295,4858,475,8814,38318,201,18908,999196,72869, 22,72891, 1053175,,1209,6186,448,9061,37704,269,18407,999182,73284, 98,73382, 1054175,,1255,12467,525,8772,38916,405,16394,999229,78734, 50,78784, 1061509,,
,914,1396,392,9185,38018,307,22675,999001,72887, 0,72887, 1049186,,1208,2443,391,9081,38730,294,21284,999084,73431, -45,73386, 1051177,,1149,3644,418,8873,37679,421,21101,999903,73285, 98,73383, 1052176,,1295,4858,475,8814,38318,201,18908,999196,72869, 22,72891, 1053175,,1209,6186,448,9061,37704,269,18407,999182,73284, 98,73382, 1054175,,1255,12467,525,8772,38916,405,16394,999229,78734, 50,78784, 1061509,,
,1048,1517,453,8763,36994,342,26776,999187,75893, 0,75893, 1048207,,1149,2633,563,9273,38740,284,18106,999625,70748, 57,70805, 1052401,,1231,3858,418,8948,38636,379,22419,999016,75889, 18,75907, 1052405,,1281,4965,499,9037,40180,324,19501,998995,75787, 116,75903, 1055411,,1362,6225,498,9025,37922,407,20371,999326,75810, 84,75894, 1054818,,1333,7482,556,8978,38396,301,13622,999218,70668, 137,70805, 1056398,,
,865,1499,475,8912,39047,334,25997,999099,77129, 0,77129, 1050224,,1224,2366,489,9174,38222,474,25128,999802,77077, 54,77131, 1051733,,1260,3628,446,9038,38000,387,24336,999010,77095, 38,77133, 1051731,,1206,5115,433,8933,39714,398,21411,999085,77210, 117,77327, 1054930,,1264,6372,552,8743,38214,373,17377,999317,72895, 104,72999, 1054927,,1371,7593,485,9028,38977,248,11288,999171,68990, 43,69033, 1056916,,
