container 1, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,,
,524,1453,358,15259,66298,102,2197,999110,86191, 0,86191, 1081511,,
,561,1492,369,14494,65612,102,2015,999216,84645, 0,84645, 1080544,,
,667,1429,356,15266,66103,102,1401,999122,85324, 0,85324, 1081647,,
,561,1447,455,14259,68099,97,1600,999118,86518, 0,86518, 1082443,,
,609,1394,483,15385,69689,302,1812,1015105,89674, 0,89674, 1101480,,
,685,1375,412,14859,66499,110,2303,0,86243, 0,86243,0,,
,620,1433,538,14173,67705,198,2108,0,86775, 0,86775,0,,
,686,1469,415,15766,67197,103,2005,0,87641, 0,87641,0,,
,638,1388,416,15060,68613,90,1508,0,87713, 0,87713,0,,
,585,1358,441,15539,67205,198,2096,0,87422, 0,87422,0,,
,604,1396,399,13886,70296,297,1720,0,88598, 0,88598,0,,
,629,1428,374,16059,66106,98,1804,0,86498, 0,86498,0,,
,524,1416,388,15348,66703,193,2107,0,86679, 0,86679,0,,
,590,1378,727,14467,63688,103,1998,0,82951, 0,82951,0,,
,603,1422,494,15071,71699,199,2009,0,91497, 0,91497,0,,
,585,1422,349,14683,64195,199,2299,0,83732, 0,83732,0,,
,603,1398,426,15753,71801,101,2401,0,92483, 0,92483,0,,
,692,1379,493,16677,74007,192,2817,0,96257, 0,96257,0,,
,586,1429,357,16054,72400,102,2400,0,93328, 0,93328,0,,
