container 1, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 2, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,
,735,1446,456,14260,71003,199,7995,999099,96094, 0,96094, 1085397,,784,2666,365,13660,66995,27,11585,999117,96082, 10,96092, 1082005,,
,671,1397,382,15660,73410,96,3205,0,94821, 0,94821,0,,674,2680,496,16152,73405,192,2720,0,96319, 10,96329,0,,
,694,1371,423,16678,72490,106,4791,0,96553, 0,96553,0,,727,2667,411,15766,73308,186,2326,0,95391, -16,95375,0,,
,636,1413,444,15159,75704,191,7700,0,101247, 0,101247,0,,686,2576,397,15748,74404,213,6002,0,100026, 41,100067,0,,
,669,1432,367,15986,74090,99,4900,0,97543, 0,97543,0,,748,2654,421,16357,70797,305,5821,0,97103, -28,97075,0,,
,828,1468,528,14729,74104,185,11315,0,103157, 0,103157,0,,813,2757,409,15059,74387,199,6799,0,100423, 15,100438,0,,
,800,1401,480,15148,73705,85,5402,0,97021, 0,97021,0,,877,2606,466,15052,71310,93,5293,0,95697, 18,95715,0,,
,726,1474,462,15771,69507,102,3007,0,91049, 0,91049,0,,753,2783,381,15247,69302,121,2497,0,91084, -31,91053,0,,
,640,1433,413,14888,73486,119,5181,0,96160, 0,96160,0,,716,2614,442,14974,74798,191,1293,0,95028, 32,95060,0,,
,661,1368,433,14941,74306,194,7392,0,99295, 0,99295,0,,662,2647,427,14565,71584,301,7916,0,98102, 11,98113,0,,
,764,1453,420,15871,76316,283,2719,0,97826, 0,97826,0,,750,2773,431,15950,73607,183,6123,0,99817, 11,99828,0,,
,601,1481,364,15166,71911,96,4915,0,94534, 0,94534,0,,683,2651,410,14167,70294,105,9214,0,97524, 13,97537,0,,
,636,1478,367,14688,75204,290,7915,0,100578, 0,100578,0,,886,2515,441,14939,72698,18,9099,0,100596, -19,100577,0,,
,630,1455,397,15594,71687,114,9698,0,99575, 0,99575,0,,651,2745,429,15265,79600,106,7818,0,106614, -27,106587,0,,
,631,1441,418,15990,69395,213,4108,0,92196, 0,92196,0,,636,2736,421,14662,73001,203,815,0,92474, 11,92485,0,,
,730,1458,420,15784,75291,109,792,0,94584, 0,94584,0,,775,2724,449,15162,71596,95,3802,0,94603, -13,94590,0,,
,781,1409,450,16067,74008,186,3004,0,95905, 0,95905,0,,793,2689,451,15855,74603,99,1406,0,95896, 11,95907,0,,
,760,1406,358,16078,74204,95,6220,0,99121, 0,99121,0,,943,2444,441,15045,73789,209,6210,0,99081, 38,99119,0,,
,693,1407,385,15458,70793,106,4891,0,93733, 0,93733,0,,752,2658,390,15854,73101,109,1804,0,94668, -21,94647,0,,
,765,1460,525,16087,73416,178,4323,0,96754, 0,96754,0,,814,2740,483,14950,72393,108,5312,0,96800, -45,96755,0,,
,674,1469,512,16165,72415,280,2929,0,94444, 0,94444,0,,716,2691,403,16163,72904,383,1404,0,94664, 54,94718,0,,
