container 1, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 2, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 3, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 4, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 5, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,
,1007,1507,471,13995,69290,187,23430,0,109887, 0,109887,0,,1091,2758,375,14587,68805,196,22790,0,110602, -20,110582,0,,1131,3932,416,14474,70583,413,17914,0,108863, 28,108891,0,,1256,5094,523,13954,69917,97,15199,0,106040, 45,106085,0,,1257,6375,485,14615,70695,303,15029,0,108759, 33,108792,0,,
,1078,1442,438,13560,70024,91,22807,0,109440, 0,109440,0,,1148,2672,343,13770,69181,136,22198,0,109448, -8,109440,0,,1252,3842,373,14390,68182,327,22600,0,110966, -20,110946,0,,1402,4964,499,13848,67894,105,20713,0,109425, 17,109442,0,,1388,6208,443,13965,67292,171,19929,0,109396, 45,109441,0,,
,907,1475,406,13804,67781,168,18705,0,103246, 0,103246,0,,1066,2550,431,14256,68723,183,15938,0,103147, 49,103196,0,,1148,3716,468,14560,69971,211,15026,0,105100, 85,105185,0,,1188,4962,532,13805,68292,125,16197,0,105101, 75,105176,0,,1204,6316,475,14219,65208,208,17511,0,105141, 38,105179,0,,
,908,1449,456,14463,67699,125,8107,0,93207, 0,93207,0,,963,2626,391,14606,67990,190,6412,0,93178, 22,93200,0,,1066,3792,454,14551,67005,271,9918,0,97057, 33,97090,0,,1093,5012,500,14935,67817,198,3605,0,93160, 45,93205,0,,1142,6232,504,14048,64785,203,10121,0,97035, 58,97093,0,,
,830,1432,445,13874,67482,128,24393,0,108584, 0,108584,0,,1049,2528,425,15388,69983,413,11016,0,100802, 0,100802,0,,1104,3711,446,14047,68543,277,21300,0,109428, 47,109475,0,,1118,4987,520,14189,69405,202,18984,0,109405, 70,109475,0,,1181,6279,505,13793,71192,125,16403,0,109478, 9,109487,0,,
,814,1426,347,14583,67580,115,13125,0,97990, 0,97990,0,,1005,2513,449,14584,70667,132,11211,0,100561, 36,100597,0,,1119,3681,441,14574,69744,370,14142,0,104071, 37,104108,0,,1097,4953,436,14862,71171,103,20033,0,112655, 136,112791,0,,1132,6180,479,14248,69205,257,19427,0,110928, 152,111080,0,,
,861,1421,412,13577,72286,148,13380,0,102085, 0,102085,0,,1017,2568,409,14873,73622,295,9280,0,102064, 12,102076,0,,1020,3855,452,14266,68571,94,13821,0,102079, 1,102080,0,,1118,5048,444,14867,69596,191,10803,0,102067, 21,102088,0,,1172,6270,461,14434,70608,292,8812,0,102049, 35,102084,0,,
,899,1417,359,14071,69629,162,10231,0,96768, 0,96768,0,,869,2680,480,14194,70388,111,7996,0,96718, 43,96761,0,,1068,3721,490,14877,68984,117,7409,0,96666, 108,96774,0,,1226,4901,450,14744,68096,31,27184,0,116632, 24,116656,0,,1211,6072,624,14833,70073,113,3725,0,96651, 120,96771,0,,
,1032,1438,380,14211,74580,118,16507,0,108266, 0,108266,0,,1287,2407,442,14992,73097,189,15807,0,108221, 40,108261,0,,1370,3694,436,15351,72426,172,18421,0,111870, -14,111856,0,,1314,4977,558,14241,70910,111,16091,0,108202, 61,108263,0,,1377,6257,502,14812,69977,226,17023,0,110174, 15,110189,0,,
,934,1481,382,13311,71283,216,25592,0,113199, 0,113199,0,,983,2708,449,14291,72009,176,8823,0,99439, -24,99415,0,,960,3946,374,14461,70610,40,8990,0,99381, 33,99414,0,,1040,5143,434,14640,74717,183,17024,0,113181, 24,113205,0,,813,6416,490,14437,71106,191,5624,0,99077, 338,99415,0,,
