container 1, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,,
,421,9974,36772,487,3405, 0, 51059,0, 51059,0,,
,655,9203,37856,297,3398, 0, 51409,0, 51409,0,,
,546,9715,37506,299,6498, 0, 54564,0, 54564,0,,
,538,9651,38485,312,4090, 0, 53076,0, 53076,0,,
,387,9841,38698,298,3589, 0, 52813,0, 52813,0,,
,481,9642,38865,210,3597, 0, 52795,0, 52795,0,,
,411,9485,36859,288,3508, 0, 50551,0, 50551,0,,
,534,9209,40014,285,4112, 0, 54154,0, 54154,0,,
,557,9627,39174,205,3786, 0, 53349,0, 53349,0,,
,408,9224,39102,309,3990, 0, 53033,0, 53033,0,,
,363,9840,38807,200,4598, 0, 53808,0, 53808,0,,
,555,9062,38066,385,3307, 0, 51375,0, 51375,0,,
,448,10277,39052,390,3705, 0, 53872,0, 53872,0,,
,460,9535,39070,221,3678, 0, 52964,0, 52964,0,,
,399,9672,41763,317,3782, 0, 55933,0, 55933,0,,
,485,9999,39174,306,3400, 0, 53364,0, 53364,0,,
,425,9541,39000,387,3111, 0, 52464,0, 52464,0,,
,463,9978,39244,212,4886, 0, 54783,0, 54783,0,,
,440,9698,39609,398,3601, 0, 53746,0, 53746,0,,
,641,9622,38266,290,3301, 0, 52120,0, 52120,0,,
