container 1, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 2, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 3, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,
,796,8828,39169,385,19417, 0, 68595,0, 68595,0,,802,8755,39706,317,18988, 0, 68568,17, 68585,0,,738,9329,38588,491,19402, 0, 68548,37, 68585,0,,
,705,9343,39465,309,7000, 0, 56822,0, 56822,0,,740,9118,39455,290,7220, 0, 56823,3, 56826,0,,723,9156,37721,380,8318, 0, 56298,31, 56329,0,,
,787,8888,39421,282,11518, 0, 60896,0, 60896,0,,797,9005,38653,423,12397, 0, 61275,21, 61296,0,,787,8584,37968,200,13317, 0, 60856,37, 60893,0,,
,501,9047,38396,495,6605, 0, 55044,0, 55044,0,,639,9018,40162,292,6517, 0, 56628,12, 56640,0,,575,8951,38582,498,4801, 0, 53407,38, 53445,0,,
,567,9225,39373,317,14100, 0, 63582,0, 63582,0,,653,8986,39408,302,14208, 0, 63557,24, 63581,0,,555,9213,38576,399,14807, 0, 63550,31, 63581,0,,
,471,9150,37666,295,10726, 0, 58308,0, 58308,0,,603,8915,38274,380,9316, 0, 57488,11, 57499,0,,537,9245,38766,414,9376, 0, 58338,40, 58378,0,,
,806,9033,37988,300,7498, 0, 55625,0, 55625,0,,863,9288,38052,504,6614, 0, 55321,1, 55322,0,,808,9510,39269,391,5315, 0, 55293,33, 55326,0,,
,646,9379,40044,309,19725, 0, 70103,0, 70103,0,,951,9323,40195,280,19811, 0, 70560,22, 70582,0,,1005,9588,41355,408,18194, 0, 70550,31, 70581,0,,
,665,9044,37700,475,8718, 0, 56602,0, 56602,0,,699,8691,40974,307,5911, 0, 56582,21, 56603,0,,721,9198,38465,377,7818, 0, 56579,21, 56600,0,,
,817,9452,38961,398,11220, 0, 60848,0, 60848,0,,868,9190,39758,400,10307, 0, 60523,11, 60534,0,,873,9553,40301,378,9325, 0, 60430,17, 60447,0,,
,622,9324,41508,374,8397, 0, 60225,0, 60225,0,,746,9404,40888,196,8891, 0, 60125,15, 60140,0,,754,9394,42861,395,6717, 0, 60121,26, 60147,0,,
,582,10054,40760,414,8697, 0, 60507,0, 60507,0,,582,9805,41278,595,8205, 0, 60465,40, 60505,0,,563,9685,38567,212,11397, 0, 60424,78, 60502,0,,
,536,9602,41415,405,6608, 0, 58566,0, 58566,0,,540,9404,40488,295,7801, 0, 58528,35, 58563,0,,595,9538,40580,403,9895, 0, 61011,47, 61058,0,,
,586,9397,39589,283,5424, 0, 55279,0, 55279,0,,587,9378,39891,377,6326, 0, 56559,16, 56575,0,,546,9275,40494,322,4681, 0, 55318,40, 55358,0,,
,861,9748,39574,399,9415, 0, 59997,0, 59997,0,,1006,9695,40903,491,7308, 0, 59403,2, 59405,0,,950,9741,41181,388,7714, 0, 59974,24, 59998,0,,
,484,9567,40872,202,7216, 0, 58341,0, 58341,0,,669,9357,40558,312,8808, 0, 59704,31, 59735,0,,724,9486,41974,422,8402, 0, 61008,31, 61039,0,,
,518,9761,40280,375,11020, 250103, 61954,0, 61954,300951,,574,9759,41248,521,7605, 249907, 59707,53, 59760,301947,,611,9701,41071,593,8525, 251214, 60501,54, 60555,303153,,
,494,9019,39495,522,10390, 36009, 59920,0, 59920,85433,,609,9421,40084,315,9482, 36304, 59911,1, 59912,86632,,602,9241,40171,210,6000, 37216, 56224,8, 56232,87436,,
,632,9505,40377,389,5514, 134231, 56417,0, 56417,185119,,661,9459,40668,313,8708, 136115, 59809,5, 59814,187211,,652,9447,41194,400,4699, 136309, 56392,21, 56413,187919,,
,597,9721,42969,303,6508, 134214, 60098,0, 60098,187807,,723,9366,41271,419,9202, 137107, 60981,17, 60998,188804,,707,9497,42845,324,7280, 135416, 60653,30, 60683,188805,,
,731,9539,39305,512,8501, 29298, 58588,0, 58588,79378,,721,9258,39892,397,8312, 30511, 58580,7, 58587,80784,,783,9278,40500,399,6012, 31108, 56972,20, 56992,81992,,
,678,9186,40799,192,4584, 122798, 55439,0, 55439,173653,,709,9148,39192,492,8399, 125105, 57940,18, 57958,174567,,672,9437,40921,586,6305, 123924, 57921,30, 57951,175560,,
