container 1, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 2, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 3, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 4, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,
,588,9970,41109,303,6683, 0, 58653,0, 58653,0,,632,9513,40374,194,7837, 0, 58550,41, 58591,0,,720,9336,40653,393,7437, 0, 58539,54, 58593,0,,728,9801,39077,492,8235, 0, 58333,62, 58395,0,,
,540,9615,40403,391,11125, 0, 62074,0, 62074,0,,711,9878,39657,306,10525, 0, 61077,5, 61082,0,,677,9609,39568,415,11299, 0, 61568,9, 61577,0,,724,9613,39123,397,11207, 0, 61064,17, 61081,0,,
,611,9138,38799,438,8196, 0, 57182,0, 57182,0,,572,8954,39612,326,7705, 0, 57169,14, 57183,0,,692,9174,39384,202,7702, 0, 57154,28, 57182,0,,676,9148,40504,584,6223, 0, 57135,47, 57182,0,,
,530,9228,40318,296,7708, 0, 58080,0, 58080,0,,689,9407,41165,386,12002, 0, 63649,13, 63662,0,,685,9474,39781,311,9190, 0, 59441,27, 59468,0,,654,9493,39402,487,8080, 0, 58116,27, 58143,0,,
,808,9172,41173,366,9829, 0, 61348,0, 61348,0,,784,8962,41095,568,5941, 0, 57350,14, 57364,0,,814,8636,38903,350,8637, 0, 57340,21, 57361,0,,904,9029,40659,388,6339, 0, 57319,45, 57364,0,,
,722,9400,38884,398,8301, 0, 57705,0, 57705,0,,706,9291,39859,296,6744, 0, 56896,21, 56917,0,,711,9122,40717,412,5919, 0, 56881,39, 56920,0,,757,9532,40235,415,7719, 0, 58658,49, 58707,0,,
,601,9943,41440,314,9410, 0, 61708,0, 61708,0,,749,9469,40585,588,10319, 0, 61710,2, 61712,0,,734,10082,40850,411,12819, 0, 64896,12, 64908,0,,737,9365,40359,307,12819, 0, 63587,15, 63602,0,,
,529,9921,40771,388,8017, 0, 59626,0, 59626,0,,665,9791,40379,486,6413, 0, 57734,4, 57738,0,,669,9462,41466,385,7626, 0, 59608,20, 59628,0,,670,9531,40390,501,6626, 0, 57718,20, 57738,0,,
,683,9135,40074,401,5745, 0, 56038,0, 56038,0,,869,9442,39981,387,10100, 0, 60779,14, 60793,0,,855,9610,37909,427,13403, 0, 62204,24, 62228,0,,838,9666,41163,324,10600, 0, 62591,27, 62618,0,,
,514,9613,39319,400,8409, 0, 58255,0, 58255,0,,645,9396,39579,300,9613, 0, 59533,24, 59557,0,,657,9485,39746,420,9209, 0, 59517,42, 59559,0,,632,9471,38182,398,8020, 0, 56703,59, 56762,0,,
,633,9125,40973,578,8928, 0, 60237,0, 60237,0,,693,9251,42281,384,7622, 0, 60231,3, 60234,0,,754,9350,39678,307,10120, 0, 60209,26, 60235,0,,593,9049,40447,312,9805, 0, 60206,32, 60238,0,,
,547,9944,42290,408,8963, 0, 62152,0, 62152,0,,687,9502,40651,207,7729, 0, 58776,17, 58793,0,,720,9565,39972,196,8326, 0, 58779,17, 58796,0,,706,9763,41484,375,7614, 0, 59942,36, 59978,0,,
,708,9493,40057,223,8408, 0, 58889,0, 58889,0,,555,9453,39281,368,9444, 0, 59101,3, 59104,0,,687,9669,40404,297,7810, 0, 58867,21, 58888,0,,714,9060,41666,396,7123, 0, 58959,34, 58993,0,,
,658,9609,39233,295,8594, 0, 58389,0, 58389,0,,821,9185,38772,282,9324, 0, 58384,10, 58394,0,,786,9707,38595,382,8903, 0, 58373,16, 58389,0,,931,9353,40695,363,7028, 0, 58370,23, 58393,0,,
,727,9362,39618,410,6999, 0, 57116,0, 57116,0,,695,9287,40883,317,7819, 0, 59001,24, 59025,0,,810,9296,40160,301,10718, 0, 61285,31, 61316,0,,821,9461,39375,410,7016, 0, 57083,32, 57115,0,,
,560,9445,38856,506,8405, 0, 57772,0, 57772,0,,748,9436,40486,288,11110, 0, 62068,1, 62069,0,,648,9600,38402,183,8227, 0, 57060,16, 57076,0,,775,9286,39162,425,7405, 0, 57053,22, 57075,0,,
,694,8991,38758,398,10731, 0, 59572,0, 59572,0,,1076,9584,39578,295,7827, 0, 58360,3, 58363,0,,1247,9491,39579,296,11991, 0, 62604,37, 62641,0,,1223,9305,40668,412,6713, 0, 58321,39, 58360,0,,
,738,9691,40948,399,10098, 0, 61874,0, 61874,0,,944,9438,42699,571,5840, 0, 59492,24, 59516,0,,885,9605,39460,320,8015, 0, 58285,31, 58316,0,,903,9247,40502,206,8626, 0, 59484,32, 59516,0,,
,638,9097,39061,300,9013, 0, 58109,0, 58109,0,,784,8913,39163,209,8121, 0, 57190,29, 57219,0,,724,8739,39371,223,9007, 0, 58064,45, 58109,0,,745,9127,39386,375,7536, 0, 57169,50, 57219,0,,
