container 1, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 2, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 3, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 4, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 5, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,
,659,9477,40810,295,12046, 0, 63287,0, 63287,0,,640,9615,40471,301,16118, 0, 67145,22, 67167,0,,769,9561,41889,564,11423, 0, 64206,51, 64257,0,,748,9357,40096,484,13006, 0, 63691,76, 63767,0,,759,9626,39175,380,13709, 0, 63649,100, 63749,0,,
,587,9235,40460,429,13507, 0, 64218,0, 64218,0,,595,9414,41168,510,16501, 0, 68188,27, 68215,0,,788,9587,41476,308,12023, 0, 64182,38, 64220,0,,666,9498,41171,492,12380, 0, 64207,72, 64279,0,,752,9804,41862,686,18525, 0, 71629,83, 71712,0,,
,698,8795,38945,214,11100, 0, 59752,0, 59752,0,,650,8669,39873,397,15603, 0, 65192,47, 65239,0,,783,8696,37866,240,8852, 0, 56437,84, 56521,0,,927,8750,39847,290,9829, 0, 59643,107, 59750,0,,958,8870,38203,200,20709, 0, 68940,135, 69075,0,,
,656,8766,37871,308,14038, 0, 61639,0, 61639,0,,650,8743,37943,258,9983, 0, 57577,15, 57592,0,,823,9385,38487,268,8532, 0, 57495,30, 57525,0,,718,9026,36819,283,10624, 0, 57470,51, 57521,0,,797,9256,37786,485,13226, 0, 61550,82, 61632,0,,
,820,8898,40050,336,9304, 0, 59408,0, 59408,0,,836,8967,39998,296,9303, 0, 59400,14, 59414,0,,920,9384,38939,323,11916, 0, 61482,25, 61507,0,,828,9414,39170,217,9717, 0, 59346,68, 59414,0,,849,9445,38810,401,9826, 0, 59331,80, 59411,0,,
,812,9350,39273,520,11007, 0, 60962,0, 60962,0,,736,11858,39133,497,5497, 0, 57721,24, 57745,0,,922,9386,39515,476,7409, 0, 57708,36, 57744,0,,915,9288,39952,419,6717, 0, 57291,77, 57368,0,,800,9478,40181,377,6808, 0, 57644,97, 57741,0,,
,781,9038,39855,319,12613, 0, 62606,0, 62606,0,,927,8940,40197,300,9408, 0, 59772,37, 59809,0,,836,8819,41200,385,8521, 0, 59761,48, 59809,0,,902,9072,41753,396,10420, 0, 62543,64, 62607,0,,855,9048,40428,298,9104, 0, 59733,76, 59809,0,,
,893,9009,40681,313,8801, 0, 59697,0, 59697,0,,821,9330,42425,187,8622, 0, 61385,19, 61404,0,,1010,9150,40910,277,8314, 0, 59661,36, 59697,0,,906,9334,43060,387,7649, 0, 61336,69, 61405,0,,902,9329,40983,285,8117, 0, 59616,83, 59699,0,,
,720,9746,40367,274,30927, 0, 82034,0, 82034,0,,817,9224,40057,495,26926, 0, 77519,11, 77530,0,,809,9072,40012,441,27967, 0, 78301,25, 78326,0,,785,9516,39462,375,30921, 0, 81059,72, 81131,0,,863,9411,40496,401,26273, 0, 77444,86, 77530,0,,
,761,9259,39079,223,23258, 0, 72580,0, 72580,0,,927,9289,40166,275,21819, 0, 72476,47, 72523,0,,775,9222,39985,363,22111, 0, 72456,49, 72505,0,,958,9414,39358,335,23194, 0, 73259,54, 73313,0,,974,9466,38659,318,23015, 0, 72432,92, 72524,0,,
,812,9778,40761,414,22186, 0, 73951,0, 73951,0,,865,9382,40848,437,20281, 0, 71813,43, 71856,0,,909,9543,39461,457,21425, 0, 71795,57, 71852,0,,1003,9907,40180,391,20298, 0, 71779,77, 71856,0,,943,9458,40066,391,20906, 0, 71764,87, 71851,0,,
,596,9283,39407,306,16217, 0, 65809,0, 65809,0,,661,9499,39424,306,15883, 0, 65773,37, 65810,0,,733,9381,37453,361,17828, 0, 65756,49, 65805,0,,747,9373,39087,262,16221, 0, 65690,114, 65804,0,,721,9415,38059,371,17194, 0, 65760,122, 65882,0,,
,893,8660,38973,290,12332, 0, 61148,0, 61148,0,,869,8970,38983,308,12054, 0, 61184,12, 61196,0,,920,8649,38598,421,14314, 0, 62902,36, 62938,0,,1025,8700,40440,337,10605, 0, 61107,39, 61146,0,,1033,9282,39055,313,11419, 0, 61102,43, 61145,0,,
,612,8839,38896,266,7940, 0, 56553,0, 56553,0,,694,8872,37269,312,9399, 0, 56546,5, 56551,0,,738,9253,38664,423,7418, 0, 56496,53, 56549,0,,826,9196,38052,229,8191, 0, 56494,54, 56548,0,,881,8658,39434,395,7120, 0, 56488,69, 56557,0,,
,628,8813,39973,403,6328, 0, 56145,0, 56145,0,,726,8728,38676,401,10999, 0, 59530,9, 59539,0,,708,8835,38636,330,11008, 0, 59517,24, 59541,0,,852,8832,38588,310,7527, 0, 56109,39, 56148,0,,826,9288,38370,300,7301, 0, 56085,60, 56145,0,,
