container 1, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,,
,1583,14761,69588,194,2507, 999002, 88633,0, 88633,1083334,,
,1581,14736,65499,197,2309, 999119, 84322,0, 84322,1079637,,
,1636,14836,61198,195,5198, 999106, 83063,0, 83063,1075479,,
,1497,13829,62807,192,2302, 999056, 80627,0, 80627,1075880,,
,1595,13925,65296,195,1798, 999132, 82809,0, 82809,1078545,,
,463,16347,72194,496,3820, 0, 93320,0, 93320,0,,
,441,15107,65399,101,1806, 0, 82854,0, 82854,0,,
,5888,14439,66089,100,2010, 0, 88526,0, 88526,0,,
,571,14525,65003,109,2698, 0, 82906,0, 82906,0,,
,605,15140,65693,104,1909, 0, 83451,0, 83451,0,,
,468,14226,64906,197,2004, 0, 81801,0, 81801,0,,
,468,14226,64906,197,2004, 0, 81801,0, 81801,0,,
,413,14842,63794,303,1603, 0, 80955,0, 80955,0,,
,711,16233,64102,291,2009, 0, 83346,0, 83346,0,,
,448,16015,66401,304,3500, 0, 86668,0, 86668,0,,
,541,15640,66404,100,2302, 0, 84987,0, 84987,0,,
,399,12052,62695,92,2114, 0, 77352,0, 77352,0,,
,472,15719,66598,199,2096, 0, 85084,0, 85084,0,,
,493,15043,67385,197,2100, 0, 85218,0, 85218,0,,
,540,16633,68386,103,1318, 0, 86980,0, 86980,0,,
,476,15730,65892,104,2295, 0, 84497,0, 84497,0,,
,1006,15535,68903,192,2203, 0, 87839,0, 87839,0,,
