container 1, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 2, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,
,758,15490,71199,198,9303, 0, 96948,0, 96948,0,,724,15607,71406,186,8917, 0, 96840,18, 96858,0,,
,513,15226,73399,193,9916, 0, 99247,0, 99247,0,,518,14918,72299,110,11399, 0, 99244,0, 99244,0,,
,658,14923,69790,97,13807, 0, 99275,0, 99275,0,,657,14814,70206,100,13499, 0, 99276,0, 99276,0,,
,539,15071,75109,191,6809, 0, 97719,0, 97719,0,,488,15127,74584,19,7489, 0, 97707,8, 97715,0,,
,587,15282,70005,96,11998, 0, 97968,0, 97968,0,,627,15924,70590,199,10613, 0, 97953,23, 97976,0,,
,626,14519,69292,102,3813, 0, 88352,0, 88352,0,,620,15227,71697,299,4287, 0, 92130,4, 92134,0,,
,601,16228,72812,122,7588, 0, 97351,0, 97351,0,,1684,15925,73715,108,1081, 0, 92513,5022, 97535,0,,
,653,14913,68199,17,3380, 0, 87162,0, 87162,0,,641,15730,69703,189,5208, 0, 91471,7, 91478,0,,
,578,15819,69987,107,2491, 0, 88982,0, 88982,0,,557,15627,71591,195,7313, 0, 95283,11, 95294,0,,
,526,15663,73310,103,8292, 0, 97894,0, 97894,0,,488,15089,75690,107,6498, 0, 97872,18, 97890,0,,
,635,15788,73188,122,6887, 0, 96620,0, 96620,0,,588,16119,70998,111,8788, 0, 96604,21, 96625,0,,
,515,15815,72903,103,3587, 0, 92923,0, 92923,0,,502,15827,75187,211,4893, 0, 96620,16, 96636,0,,
,536,14931,69394,92,6517, 0, 91470,0, 91470,0,,526,15323,74404,197,3810, 0, 94260,10, 94270,0,,
,536,14931,69394,92,6517, 0, 91470,0, 91470,0,,526,15323,74404,197,3810, 0, 94260,10, 94270,0,,
,467,15736,71001,290,4015, 0, 91509,0, 91509,0,,557,16324,71315,190,8614, 0, 97000,7, 97007,0,,
