container 1, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 2, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 3, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,
,655,15161,68397,120,9597, 0, 93930,0, 93930,0,,733,14947,72136,99,10287, 0, 98202,28, 98230,0,,706,15598,69290,100,12507, 0, 98201,28, 98229,0,,
,484,15610,69219,288,8397, 0, 93998,0, 93998,0,,486,14687,68313,186,8716, 0, 92388,16, 92404,0,,581,15479,73809,205,11103, 0, 101177,30, 101207,0,,
,604,14932,68989,182,12916, 0, 97623,0, 97623,0,,629,14788,67892,102,14208, 0, 97619,6, 97625,0,,458,15122,67895,198,8913, 0, 92586,5038, 97624,0,,
,517,15318,70107,16,6182, 0, 92140,0, 92140,0,,699,14950,67074,124,7509, 0, 90356,1, 90357,0,,629,15192,67500,120,6975, 0, 90416,11, 90427,0,,
,507,15012,71913,197,6208, 0, 93837,0, 93837,0,,653,14775,68583,301,9521, 0, 93833,8, 93841,0,,640,15262,71594,20,6294, 0, 93810,34, 93844,0,,
,626,15401,67508,274,7320, 0, 91129,0, 91129,0,,658,14946,68905,206,6500, 0, 91215,14, 91229,0,,624,15779,67698,302,5705, 0, 90108,30, 90138,0,,
,447,14841,68076,202,7821, 0, 91387,0, 91387,0,,529,15143,68122,379,7203, 0, 91376,8, 91384,0,,1111,15048,68103,177,6924, 0, 91363,23, 91386,0,,
,505,14992,70972,622,11290, 0, 98381,0, 98381,0,,597,14476,71407,91,11810, 0, 98381,6, 98387,0,,635,14322,71316,102,10405, 0, 96780,11, 96791,0,,
,554,16326,69897,284,7318, 0, 94379,0, 94379,0,,650,15828,72894,106,4976, 0, 94454,0, 94454,0,,684,16069,69387,196,8022, 0, 94358,18, 94376,0,,
,517,15280,68725,168,15317, 0, 100007,0, 100007,0,,614,14582,72988,97,5512, 0, 93793,15, 93808,0,,553,15236,70386,303,7300, 0, 93778,28, 93806,0,,
,571,15924,71183,97,7423, 0, 95198,0, 95198,0,,553,14715,67587,102,5625, 0, 88582,19, 88601,0,,623,15433,70817,280,1498, 0, 88651,23, 88674,0,,
,533,16409,72394,304,9616, 0, 99256,0, 99256,0,,575,15952,70699,98,11805, 0, 99129,32, 99161,0,,544,15367,73908,198,9204, 0, 99221,39, 99260,0,,
,612,15028,70717,188,10012, 0, 96557,0, 96557,0,,720,15659,71022,194,8512, 0, 96107,57, 96164,0,,729,15045,71898,187,16129, 0, 103988,77, 104065,0,,
,684,15082,72716,184,6994, 0, 95660,0, 95660,0,,690,15285,69989,102,12594, 0, 98660,18, 98678,0,,698,15142,72714,94,6907, 0, 95555,27, 95582,0,,
,675,15352,68608,204,9075, 0, 93914,0, 93914,0,,618,15560,68213,80,9329, 0, 93800,44, 93844,0,,611,15182,67301,203,11494, 0, 94791,44, 94835,0,,
,617,15471,66879,294,7727, 0, 90988,0, 90988,0,,602,15570,70204,91,4088, 0, 90555,9, 90564,0,,576,15198,71089,206,3408, 0, 90477,10, 90487,0,,
