container 1, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 2, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 3, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 4, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,
,583,15226,71999,108,13796, 0, 101712,0, 101712,0,,790,16215,71265,201,13234, 0, 101705,8, 101713,0,,717,15588,72569,118,12709, 0, 101701,9, 101710,0,,710,15445,69188,35,21796, 0, 107174,36, 107210,0,,
,628,16251,69993,491,9128, 0, 96491,0, 96491,0,,799,16031,70688,191,8293, 0, 96002,54, 96056,0,,828,16266,70313,302,8106, 0, 95815,78, 95893,0,,770,15534,70096,202,9878, 0, 96480,78, 96558,0,,
,557,15552,67321,71,15738, 0, 99239,0, 99239,0,,635,14689,67858,201,13833, 0, 97216,13, 97229,0,,665,14418,68723,194,13804, 0, 97804,21, 97825,0,,726,15358,67886,212,13019, 0, 97201,28, 97229,0,,
,594,14829,68723,179,10139, 0, 94464,0, 94464,0,,505,15029,72310,100,16406, 0, 104350,10, 104360,0,,668,14387,71745,120,4416, 0, 91336,21, 91357,0,,650,14872,74171,312,16710, 0, 106715,35, 106750,0,,
,858,14231,66613,170,10735, 0, 92607,0, 92607,0,,837,14237,69577,18,10110, 0, 94779,25, 94804,0,,826,14342,67687,199,8420, 0, 91474,30, 91504,0,,774,14469,67010,167,9037, 0, 91457,46, 91503,0,,
,699,14169,68801,164,8628, 0, 92461,0, 92461,0,,852,14937,70212,207,6274, 0, 92482,49, 92531,0,,757,14129,69807,182,7524, 0, 92399,62, 92461,0,,830,14965,70370,109,8084, 0, 94358,74, 94432,0,,
,648,14707,72101,112,18099, 0, 105667,0, 105667,0,,755,14389,68414,286,21600, 0, 105444,7, 105451,0,,730,14713,67400,82,22928, 0, 105853,20, 105873,0,,775,15252,70413,175,19240, 0, 105855,21, 105876,0,,
,707,14332,69593,197,9409, 0, 94238,0, 94238,0,,681,14934,68611,185,7328, 0, 91739,22, 91761,0,,719,14710,69873,188,6293, 0, 91783,30, 91813,0,,646,14084,71250,123,8104, 0, 94207,37, 94244,0,,
,682,14860,67874,189,14225, 0, 97830,0, 97830,0,,1194,15809,68995,201,11623, 0, 97822,8, 97830,0,,1279,15320,70013,494,5227, 0, 92333,18, 92351,0,,1216,14775,71407,197,12299, 0, 99894,32, 99926,0,,
,680,15215,69720,105,7218, 0, 92938,0, 92938,0,,880,15854,69665,204,14519, 0, 101122,7, 101129,0,,848,15441,68232,91,7418, 0, 92030,10, 92040,0,,877,15012,71725,192,7003, 0, 94809,20, 94829,0,,
,611,15022,69770,98,8578, 0, 94079,0, 94079,0,,608,15581,72505,289,5024, 0, 94007,5, 94012,0,,709,15154,70122,176,8725, 0, 94886,20, 94906,0,,729,15412,72826,196,4811, 0, 93974,38, 94012,0,,
,531,15806,68115,189,11199, 0, 95840,0, 95840,0,,718,15138,70496,183,9227, 0, 95762,5, 95767,0,,701,15843,73118,294,5804, 0, 95760,12, 95772,0,,784,15531,68533,164,10723, 0, 95735,27, 95762,0,,
,614,15070,68392,131,3396, 0, 87603,0, 87603,0,,566,14865,65681,95,6397, 0, 87604,1, 87605,0,,751,14854,68412,157,12819, 0, 96993,7, 97000,0,,727,15345,69222,284,2085, 0, 87663,11, 87674,0,,
,653,15676,66602,279,5738, 0, 88948,0, 88948,0,,623,15102,70280,106,10276, 0, 96387,9, 96396,0,,772,14413,67503,108,7615, 0, 90411,17, 90428,0,,720,14979,65606,79,6834, 0, 88218,28, 88246,0,,
,705,14685,69306,108,9109, 0, 93913,0, 93913,0,,750,14553,68682,207,10706, 0, 94898,17, 94915,0,,814,14772,69393,181,9394, 0, 94554,23, 94577,0,,911,14361,67498,108,11008, 0, 93886,25, 93911,0,,
,521,15311,68477,108,14095, 0, 98512,0, 98512,0,,836,14776,68414,191,14227, 0, 98444,1, 98445,0,,819,16017,66193,73,8042, 0, 91144,13, 91157,0,,819,15481,67896,108,14126, 0, 98430,15, 98445,0,,
,654,14511,69783,212,5375, 0, 90535,0, 90535,0,,626,14590,72317,187,8391, 0, 96111,17, 96128,0,,763,15267,69397,202,8227, 0, 93856,18, 93874,0,,694,14202,70925,108,10967, 0, 96896,31, 96927,0,,
,644,13574,64312,174,16336, 0, 95040,0, 95040,0,,662,13339,66329,281,10431, 0, 91042,7, 91049,0,,676,13902,67302,106,9033, 0, 91019,29, 91048,0,,729,13171,65383,81,15636, 0, 95000,39, 95039,0,,
,617,14833,67311,216,21988, 454205, 104965,0, 104965,535364,,581,14754,70407,101,22313, 453651, 108156,17, 108173,537826,,710,15118,69120,205,23001, 453956, 108154,17, 108171,537823,,686,15232,68702,297,20026, 457030, 104943,27, 104970,540301,,
,508,15706,69210,263,8541, 252594, 94228,0, 94228,336810,,664,15956,69197,199,8208, 252193, 94224,1, 94225,336809,,649,15437,70400,109,7622, 252000, 94217,5, 94222,336808,,674,15513,68624,188,9218, 253082, 94217,10, 94227,336814,,
