container 1, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 2, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 3, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 4, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 5, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,
,665,14812,72498,112,22127, 0, 110214,0, 110214,0,,649,14842,71087,206,7118, 0, 93902,18, 93920,0,,746,15728,69783,308,16816, 0, 103381,28, 103409,0,,759,15277,69029,196,24904, 0, 110165,50, 110215,0,,858,15383,69297,289,8021, 0, 93848,69, 93917,0,,
,715,14353,71697,195,11715, 0, 98675,0, 98675,0,,703,15417,72301,147,11194, 0, 99762,9, 99771,0,,803,15731,70218,267,21232, 0, 108251,24, 108275,0,,898,14999,70797,196,11751, 0, 98641,40, 98681,0,,818,14744,68487,208,6513, 0, 90770,84, 90854,0,,
,563,15585,68411,217,23496, 0, 108272,0, 108272,0,,761,15844,71617,186,17931, 0, 106339,31, 106370,0,,683,14334,70801,317,10107, 0, 96242,42, 96284,0,,831,15071,74725,83,15615, 0, 106325,45, 106370,0,,746,15361,73779,104,16337, 0, 106327,46, 106373,0,,
,551,14881,69542,176,17918, 0, 103068,0, 103068,0,,701,15703,71500,164,10196, 0, 98264,70, 98334,0,,890,14879,70320,68,11830, 0, 97987,90, 98077,0,,649,15025,69990,206,12305, 0, 98175,93, 98268,0,,818,15521,69705,187,11925, 0, 98156,110, 98266,0,,
,572,15321,67639,364,14447, 0, 98343,0, 98343,0,,725,14977,67166,223,10919, 0, 94010,26, 94036,0,,832,15424,67805,22,16189, 0, 100272,55, 100327,0,,662,14806,66189,186,12129, 0, 93972,65, 94037,0,,747,14513,65386,115,13206, 0, 93967,68, 94035,0,,
,692,14236,68492,118,7805, 0, 91343,0, 91343,0,,857,14977,66089,284,9130, 0, 91337,9, 91346,0,,789,15009,68872,101,6546, 0, 91317,36, 91353,0,,850,15747,70716,65,4506, 0, 91884,53, 91937,0,,898,14938,68013,294,7124, 0, 91267,76, 91343,0,,
,665,15029,72432,178,15437, 0, 103741,0, 103741,0,,695,15973,72496,126,19103, 0, 108393,32, 108425,0,,785,15396,71456,27,16001, 0, 103665,59, 103724,0,,867,14564,67318,475,20427, 0, 103651,70, 103721,0,,787,15706,70919,211,15996, 0, 103619,103, 103722,0,,
,661,14643,71009,190,8781, 0, 95284,0, 95284,0,,817,13988,69172,199,12240, 0, 96416,8, 96424,0,,907,14451,67323,200,12318, 0, 95199,39, 95238,0,,694,15528,70906,35,8012, 0, 95175,63, 95238,0,,834,14871,72605,170,19731, 0, 108211,105, 108316,0,,
,839,15020,67643,156,8460, 0, 92118,0, 92118,0,,1132,14281,69867,161,9436, 0, 94877,20, 94897,0,,922,14646,67669,231,11457, 0, 94925,33, 94958,0,,1095,14452,70769,110,8434, 0, 94860,41, 94901,0,,975,14333,72483,115,6988, 0, 94894,66, 94960,0,,
,622,14371,67996,106,29209, 0, 112304,0, 112304,0,,726,14324,67340,108,29780, 0, 112278,24, 112302,0,,807,15432,69415,114,26506, 0, 112274,39, 112313,0,,918,14852,67001,163,29326, 0, 112260,44, 112304,0,,890,14367,67493,185,29310, 0, 112245,63, 112308,0,,
